"PSComputerName","ResourceName","InstanceName","InDesiredState","ConfigurationName","StartDate"
"NADE05BIV02","Registry","[V-4113][low][TCP Connection Keep-Alive Time]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-4116][low][Name-Release Attacks]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-4438][low][TCP Data Retransmissions]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-4442][low][Screen Saver Grace Period]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-4443][high][Remotely Accessible Registry Paths and Sub-Paths]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-4445][low][Optional Subsystems]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-4447][medium][TS/RDS -  Secure RPC Connection.]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-4448][medium][Group Policy - Registry Policy Processing]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-6831][medium][Encrypting and Signing of Secure Channel Traffic]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-6832][medium][SMB Client Packet Signing (Always)]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-6833][medium][SMB Server Packet Signing (Always)]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-6834][high][Anonymous Access to Named Pipes and Shares]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-11806][low][Display of Last User Name]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14228][medium][Audit Access of Global System Objects]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14229][medium][Audit Backup and Restore Privileges]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14230][medium][Audit Policy Subcategory Setting]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14232][low][IPSec Exemptions]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14234][medium][UAC - Admin Approval Mode]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14235][medium][UAC - Admin Elevation Prompt]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14236][medium][UAC - User Elevation Prompt]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14237][medium][UAC - Application Installations]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14239][medium][UAC - UIAccess Application Elevation]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14240][medium][UAC - All Admin Approval Mode]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14241][medium][UAC - Secure Desktop Mode]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14242][medium][UAC - Non UAC Compliant Application Virtualization]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:24 PM"
"NADE05BIV02","Registry","[V-14243][medium][Enumerate Administrator Accounts on Elevation]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:25 PM"
"NADE05BIV02","Registry","[V-14247][medium][TS/RDS - Prevent Password Saving]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:25 PM"
"NADE05BIV02","Registry","[V-14249][medium][TS/RDS - Drive Redirection]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:25 PM"
